Output_sne,lat,lng,Country_Code,Type,Population,Desamb_Phase,input_sne,source
Auckland,-36.85,174.78333,NZ,A,444100,fuzzySWHighMatch1,auckland,Hepatitis_scare_at_New_Zealand_McDonald%27s_restaurant
New Zealand,-42.0,174.0,NZ,A,4885500,fuzzySWHighMatch1,new zealand,Hepatitis_scare_at_New_Zealand_McDonald%27s_restaurant
China,35.0,105.0,CN,A,1411778724,fuzzySWHighMatch1,china,"Highly_contagious_Hand,_foot_and_mouth_disease_killing_China%27s_children"
Shandong,36.33333,118.25,CN,A,94170000,fuzzySWHighMatch1,shandong,"Highly_contagious_Hand,_foot_and_mouth_disease_killing_China%27s_children"
Kita-Akita,40.19956,140.39388,JP,P,0,fuzzySWHighMatch2,kitaakita,Hong_Kong_flu_kills_six_in_Japan
Japan,35.68536,139.75309,JP,A,126529100,fuzzySWHighMatch1,japan,Hong_Kong_flu_kills_six_in_Japan
Randwick,-33.91667,151.25,AU,A,142310,fuzzySWHighMatch1,randwick,Horse_flu_infects_Australian_thoroughbreds
Sydney,-33.86785,151.20732,AU,P,4627345,fuzzySWHighMatch1,sydney,Horse_flu_infects_Australian_thoroughbreds
Queensland,-20.0,145.0,AU,A,5052800,fuzzySWHighMatch1,queensland,Horse_flu_infects_Australian_thoroughbreds
Melbourne,-37.814,144.96332,AU,P,4246375,fuzzySWHighMatch1,melbourne,Horse_flu_infects_Australian_thoroughbreds
New South Wales,-33.0,146.0,AU,A,8046100,resolvedByAliace,NSW,Horse_flu_infects_Australian_thoroughbreds
Australia,-25.0,135.0,AU,A,24992369,fuzzySWHighMatch1,australia,Horse_flu_spreads_in_Australia
New South Wales,-33.0,146.0,AU,A,8046100,fuzzySWHighMatch1,new south wales,Horse_flu_spreads_in_Australia
Sydney,-33.86785,151.20732,AU,P,4627345,fuzzySWHighMatch1,sydney,Horse_flu_spreads_in_Australia
Parkes,-32.82318,148.02514,AU,A,15087,fuzzySWHighMatch1,parkes,Horse_flu_spreads_in_Australia
Berry,-34.77507,150.69436,AU,P,2648,fuzzySWHighMatch1,berry,Horse_flu_spreads_in_Australia
Wyong,-33.28254,151.42327,AU,P,4309,fuzzySWHighMatch1,wyong,Horse_flu_spreads_in_Australia
Warwick,41.7001,-71.41617,US,P,81699,fuzzySWHighMatch1,warwick,Horse_flu_spreads_in_Australia
Queensland,-20.0,145.0,AU,A,5052800,fuzzySWHighMatch1,queensland,Horse_flu_spreads_in_Australia
Brisbane,-27.46794,153.02809,AU,P,2189878,fuzzySWHighMatch1,brisbane,Horse_flu_spreads_in_Australia
Victoria,-37.0,145.0,AU,A,6526400,fuzzySWHighMatch1,victoria,Horse_flu_spreads_in_Australia
Maitland,-32.73308,151.5574,AU,P,67132,fuzzySWHighMatch1,maitland,Horse_flu_spreads_in_Australia
New South Wales,-33.0,146.0,AU,A,8046100,resolvedByAliace,NSW,Horse_flu_spreads_in_Australia
Cattai,-33.54569,150.91432,AU,P,822,HighPop,cattai,Horse_flu_spreads_in_Australia
New South Wales,-33.0,146.0,AU,A,8046100,fuzzySWHighMatch1,new south wales,"Horse_racing_in_NSW,_Queensland_cancelled_indefinitely"
Queensland,-20.0,145.0,AU,A,5052800,fuzzySWHighMatch1,queensland,"Horse_racing_in_NSW,_Queensland_cancelled_indefinitely"
Australia,-25.0,135.0,AU,A,24992369,fuzzySWHighMatch1,australia,"Horse_racing_in_NSW,_Queensland_cancelled_indefinitely"
Sydney,-33.86785,151.20732,AU,P,4627345,fuzzySWHighMatch1,sydney,"Horse_racing_in_NSW,_Queensland_cancelled_indefinitely"
Melbourne,-37.814,144.96332,AU,P,4246375,fuzzySWHighMatch1,melbourne,"Horse_racing_in_NSW,_Queensland_cancelled_indefinitely"
Victoria,-37.0,145.0,AU,A,6526400,fuzzySWHighMatch1,victoria,"Horse_racing_in_NSW,_Queensland_cancelled_indefinitely"
New South Wales,-33.0,146.0,AU,A,8046100,resolvedByAliace,NSW,"Horse_racing_in_NSW,_Queensland_cancelled_indefinitely"
India,22.0,79.0,IN,A,1352617328,fuzzySWHighMatch1,india,India_struggles_with_encephalitis_outbreak
Uttar Pradesh,27.25,80.75,IN,A,199812341,fuzzySWHighMatch1,uttar pradesh,India_struggles_with_encephalitis_outbreak
Nepal,28.0,84.0,NP,A,28087871,fuzzySWHighMatch1,nepal,India_struggles_with_encephalitis_outbreak
Indiana,40.00032,-86.25027,US,A,6265933,fuzzySWHighMatch1,indiana,Indiana_Governor_signs_needle_exchange_program
Austin,30.26715,-97.74306,US,P,931830,fuzzySWHighMatch1,austin,Indiana_Governor_signs_needle_exchange_program
Evansville,37.97476,-87.55585,US,P,119943,fuzzySWHighMatch1,evansville,Indiana_Governor_signs_needle_exchange_program
Louisville,38.25424,-85.75941,US,P,243639,fuzzySWHighMatch1,louisville,Indiana_Governor_signs_needle_exchange_program
Kentucky,38.20042,-84.87762,US,A,4206074,fuzzySWHighMatch1,kentucky,Indiana_Governor_signs_needle_exchange_program
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,Indiana_Governor_signs_needle_exchange_program
Nashville,36.16589,-86.78444,US,P,689447,fuzzySWHighMatch1,nashville,Indiana_Governor_signs_needle_exchange_program
Tennessee,35.75035,-86.25027,US,A,5935099,fuzzySWHighMatch1,tennessee,Indiana_Governor_signs_needle_exchange_program
Karo,-18.0,19.31667,,P,0,fuzzySWHighMatch2,karo,Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra
Medan,3.58333,98.66667,ID,P,1750971,fuzzySWHighMatch1,medan,Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra
Garut,-7.5007,112.6367,ID,P,0,fuzzySWHighMatch1,garut,Indonesian_health_officials_investigating_possible_human_to_human_transmission_of_H5N1_Bird_Flu_virus
West Java,-6.75,107.5,ID,A,45278744,fuzzySWHighMatch2,west java,Indonesian_health_officials_investigating_possible_human_to_human_transmission_of_H5N1_Bird_Flu_virus
Indonesia,-5.0,120.0,ID,A,267663435,fuzzySWHighMatch1,indonesia,Indonesian_health_officials_investigating_possible_human_to_human_transmission_of_H5N1_Bird_Flu_virus
Sukoharjo,-7.56028,110.57194,ID,P,0,fuzzySWHighMatch1,sukoharjo,Indonesian_suspected_bird_flu_case_dies
Central Java,-7.5,110.0,ID,A,34087148,fuzzySWHighMatch1,central java,Indonesian_suspected_bird_flu_case_dies
Indonesia,-5.0,120.0,ID,A,267663435,fuzzySWHighMatch1,indonesia,Indonesian_suspected_bird_flu_case_dies
West Java,-6.75,107.5,ID,A,45278744,fuzzySWHighMatch2,west java,Indonesian_suspected_bird_flu_case_dies
Yogyakarta,-7.8008,110.34393,ID,A,3665448,fuzzySWHighMatch1,yogyakarta,Indonesian_suspected_bird_flu_case_dies
Vietnam,16.16667,107.83333,VN,A,95540395,fuzzySWHighMatch1,vietnam,Indonesian_suspected_bird_flu_case_dies
Philippines,13.40882,122.56155,PH,A,106651922,fuzzySWHighMatch1,philippines,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Manila,14.6042,120.9822,PH,P,1600000,fuzzySWHighMatch1,manila,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Pandi,14.87462,120.96683,PH,A,89075,fuzzySWHighMatch1,pandi,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Bulacan,14.79278,120.87889,PH,P,71274,fuzzySWHighMatch1,bulacan,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Talavera,15.61667,120.93333,PH,A,124829,fuzzySWHighMatch1,talavera,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Manaoag,16.03333,120.48333,PH,A,69497,fuzzySWHighMatch1,manaoag,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Reston,38.96872,-77.3411,US,P,58404,fuzzySWHighMatch1,reston,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Virginia,37.54812,-77.44675,US,A,7642884,fuzzySWHighMatch1,virginia,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Italy,42.83333,12.83333,IT,A,60431283,fuzzySWHighMatch1,italy,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Rome,41.96667,12.66667,IT,A,4342212,fuzzySWHighMatch2,rome,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Laguna,-28.47071,-48.83834,BR,A,46122,fuzzySWHighMatch1,laguna,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Singapore,1.28967,103.85007,SG,P,5638700,fuzzySWHighMatch1,singapore,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Santa Maria,-29.77424,-53.82759,BR,A,261027,fuzzySWHighMatch1,santa maria,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Pongpong,16.58333,120.48333,PH,P,0,fuzzySWHighMatch1,pongpong,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
New York,43.00035,-75.4999,US,A,19274244,resolvedByAliace,Ny,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
DR Congo,-2.5,23.5,CD,A,84068091,resolvedByAliace,DRC,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Us,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Pailin,12.86667,102.6,KH,A,70482,fuzzySWHighMatch1,pailin,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Cambodia,13.0,105.0,KH,A,16249798,fuzzySWHighMatch1,cambodia,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Attapeu,14.81071,106.83184,LA,P,4297,fuzzySWHighMatch1,attapeu,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Laos,18.0,105.0,LA,A,7061507,fuzzySWHighMatch2,laos,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Vietnam,16.16667,107.83333,VN,A,95540395,fuzzySWHighMatch1,vietnam,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Myanmar,21.0,96.0,MM,A,53708395,fuzzySWHighMatch1,myanmar,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Pingilikani,-3.7742,39.77375,KE,P,0,fuzzySWHighMatch1,pingilikani,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Kenya,1.0,38.0,KE,A,51393010,fuzzySWHighMatch1,kenya,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Kinshasa,-4.32758,15.31357,CD,P,7785965,fuzzySWHighMatch1,kinshasa,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
DR Congo,-2.5,23.5,CD,A,84068091,fuzzySWHighMatch2,dr congo,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia
Atlanta,33.749,-84.38798,US,P,463878,fuzzySWHighMatch1,atlanta,James_Brown_dies_of_pneumonia
New Jersey,40.16706,-74.49987,US,A,8751436,fuzzySWHighMatch1,new jersey,James_Brown_dies_of_pneumonia
New York,43.00035,-75.4999,US,A,19274244,fuzzySWHighMatch2,new york,James_Brown_dies_of_pneumonia
New Orleans,29.95465,-90.07507,US,P,389617,fuzzySWHighMatch1,new orleans,Katrina_survivor_searchers_prepare_for_the_worst
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Us,Katrina_survivor_searchers_prepare_for_the_worst
Kenya,1.0,38.0,KE,A,51393010,fuzzySWHighMatch1,kenya,Kenya_confirms_first_swine_flu_case
Nyanza,-2.36516,29.74942,RW,A,0,fuzzySWHighMatch1,nyanza,Kenya_confirms_first_swine_flu_case
Kisumu,-0.069,34.64,KE,A,968909,fuzzySWHighMatch1,kisumu,Kenya_confirms_first_swine_flu_case
India,22.0,79.0,IN,A,1352617328,fuzzySWHighMatch1,india,Kenya_confirms_first_swine_flu_case
Nairobi,-1.28333,36.83333,KE,A,3138369,fuzzySWHighMatch1,nairobi,Kenya_confirms_first_swine_flu_case
London,51.50853,-0.12574,GB,P,8961989,fuzzySWHighMatch1,london,Kenya_confirms_first_swine_flu_case
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Us,Kenya_confirms_first_swine_flu_case
Kenya,1.0,38.0,KE,A,51393010,fuzzySWHighMatch1,kenya,Kenyan_cattle_rustlers_kill_eleven
Isiolo,0.98333,38.53333,KE,A,143294,fuzzySWHighMatch1,isiolo,Kenyan_cattle_rustlers_kill_eleven
Kisima,0.1118,37.41738,KE,P,0,fuzzySWHighMatch1,kisima,Kenyan_cattle_rustlers_kill_eleven
Libya,28.0,17.0,LY,A,6678567,fuzzySWHighMatch1,libya,Libya_frees_foreign_HIV_medics
Sofia,42.68647,23.30561,BG,A,1328120,fuzzySWHighMatch1,sofia,Libya_frees_foreign_HIV_medics
Bulgaria,42.66667,25.25,BG,A,7000039,fuzzySWHighMatch1,bulgaria,Libya_frees_foreign_HIV_medics
Benghazi,32.11486,20.06859,LY,P,650629,fuzzySWHighMatch1,benghazi,Libya_frees_foreign_HIV_medics
Qatar,25.5,51.25,QA,A,2781677,fuzzySWHighMatch1,qatar,Libya_frees_foreign_HIV_medics
France,46.0,2.0,FR,A,66987244,fuzzySWHighMatch1,france,Libya_frees_foreign_HIV_medics
Tripoli,32.88743,13.18733,LY,P,1150989,fuzzySWHighMatch1,tripoli,Libya_frees_foreign_HIV_medics
Paris,48.85339,2.34864,FR,A,4380654,fuzzySWHighMatch1,paris,Libya_frees_foreign_HIV_medics
London,51.50853,-0.12574,GB,P,8961989,fuzzySWHighMatch1,london,Local_government_officials_confiscate_London_ice_cream_made_from_human_breast_milk_for_health_reasons
England,52.16045,-0.70312,GB,A,56286961,fuzzySWHighMatch1,england,Local_government_officials_confiscate_London_ice_cream_made_from_human_breast_milk_for_health_reasons
United Kingdom,54.75844,-2.69531,GB,A,66488991,fuzzySWHighMatch1,united kingdom,Local_government_officials_confiscate_London_ice_cream_made_from_human_breast_milk_for_health_reasons
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,Local_government_officials_confiscate_London_ice_cream_made_from_human_breast_milk_for_health_reasons
London,51.50853,-0.12574,GB,P,8961989,fuzzySWHighMatch1,london,London_court_jails_man_after_Dark_Web_ricin_sting
Liverpool,53.41058,-2.97794,GB,P,864122,fuzzySWHighMatch1,liverpool,London_court_jails_man_after_Dark_Web_ricin_sting
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,London_court_jails_man_after_Dark_Web_ricin_sting
Marion,39.78171,-86.13847,US,A,977203,fuzzySWHighMatch1,marion,"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients"
Ohio,40.25034,-83.00018,US,A,11467123,fuzzySWHighMatch2,ohio,"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients"
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients"
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients"
New Jersey,40.16706,-74.49987,US,A,8751436,fuzzySWHighMatch1,new jersey,"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients"
Brooklyn,40.6501,-73.94958,US,P,2300664,fuzzySWHighMatch1,brooklyn,"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients"
New York,43.00035,-75.4999,US,A,19274244,fuzzySWHighMatch2,new york,"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients"
Chad,15.0,19.0,TD,A,15477751,fuzzySWHighMatch2,chad,M%C3%A9decins_Sans_Fronti%C3%A8res_warns_of_emerging_crisis_in_eastern_Chad
Sudan,16.0,30.0,SD,A,41801533,fuzzySWHighMatch1,sudan,M%C3%A9decins_Sans_Fronti%C3%A8res_warns_of_emerging_crisis_in_eastern_Chad
Goz Beida,13.94563,20.5468,TD,P,1500,fuzzySWHighMatch2,goz beida,M%C3%A9decins_Sans_Fronti%C3%A8res_warns_of_emerging_crisis_in_eastern_Chad
Alabama,32.75041,-86.75026,US,A,4530315,fuzzySWHighMatch1,alabama,Mad_Cow_disease_confirmed_in_U.S.
Ames,42.03471,-93.61994,US,P,65060,fuzzySWHighMatch2,ames,Mad_Cow_disease_confirmed_in_U.S.
Iowa,42.00027,-93.50049,US,A,2955010,fuzzySWHighMatch2,iowa,Mad_Cow_disease_confirmed_in_U.S.
Georgia,32.75042,-83.50018,US,A,8975842,fuzzySWHighMatch1,georgia,Mad_Cow_disease_confirmed_in_U.S.
Washington,47.50012,-120.50147,US,A,6271775,fuzzySWHighMatch1,washington,Mad_Cow_disease_confirmed_in_U.S.
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,Mad_Cow_disease_confirmed_in_U.S.
Texas,31.25044,-99.25061,US,A,22875689,fuzzySWHighMatch1,texas,Mad_Cow_disease_confirmed_in_U.S.
Sweden,62.0,15.0,SE,A,10183175,fuzzySWHighMatch1,sweden,Mad_Cow_disease_confirmed_in_U.S.
Ontario,49.25014,-84.49983,CA,A,12861940,fuzzySWHighMatch1,ontario,Man_attempts_to_foil_breathalyzer_by_eating_feces
Stroud,51.75,-2.2,GB,A,117381,fuzzySWHighMatch1,stroud,Man_attempts_to_foil_breathalyzer_by_eating_feces
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,Man_attempts_to_foil_breathalyzer_by_eating_feces
Bradford,53.83333,-1.83333,GB,A,534279,fuzzySWHighMatch1,bradford,Man_attempts_to_foil_breathalyzer_by_eating_feces
China,35.0,105.0,CN,A,1411778724,fuzzySWHighMatch1,china,Mass_poultry_vaccination_planned_by_China
Anhui,31.91667,117.16667,CN,A,64610000,fuzzySWHighMatch1,anhui,Mass_poultry_vaccination_planned_by_China
Hunan,27.66667,111.75,CN,A,66980000,fuzzySWHighMatch1,hunan,Mass_poultry_vaccination_planned_by_China
Liaoning,41.25,122.66667,CN,A,43150000,fuzzySWHighMatch1,liaoning,Mass_poultry_vaccination_planned_by_China
Puno,-15.0,-70.0,PE,A,1364362,fuzzySWHighMatch2,puno,Meteorite_blamed_for_mysterious_illness_in_Peru
Peru,-10.0,-75.25,PE,A,31989256,fuzzySWHighMatch2,peru,Meteorite_blamed_for_mysterious_illness_in_Peru
Bolivia,-17.0,-65.0,BO,A,11353142,fuzzySWHighMatch1,bolivia,Meteorite_blamed_for_mysterious_illness_in_Peru
Desaguadero,-16.56556,-69.04167,PE,P,5329,fuzzySWHighMatch1,desaguadero,Meteorite_blamed_for_mysterious_illness_in_Peru
Massachusetts,42.36565,-71.10832,US,A,6433422,fuzzySWHighMatch1,massachusetts,Meteorite_blamed_for_mysterious_illness_in_Peru
London,51.50853,-0.12574,GB,P,8961989,fuzzySWHighMatch1,london,Meteorite_blamed_for_mysterious_illness_in_Peru
East Providence,41.81371,-71.37005,US,P,47408,fuzzySWHighMatch1,east providence,Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island
Barrington,41.74066,-71.30866,US,P,16669,fuzzySWHighMatch1,barrington,Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island
Rhode Island,41.75038,-71.49978,US,A,1050292,fuzzySWHighMatch1,rhode island,Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island
Massachusetts,42.36565,-71.10832,US,A,6433422,fuzzySWHighMatch1,massachusetts,Mosquitoes_test_positive_for_West_Nile_virus_in_Rhode_Island
California,37.25022,-119.75126,US,A,39512223,fuzzySWHighMatch1,california,"Mothers,_teachers_air_more_concerns_about_leukemia_cases_at_California_elementary_school"
Santa Ana,33.74557,-117.86783,US,P,335400,fuzzySWHighMatch2,santa ana,"Mothers,_teachers_air_more_concerns_about_leukemia_cases_at_California_elementary_school"
Newport Beach,33.61891,-117.92895,US,P,87127,fuzzySWHighMatch1,newport beach,"Mothers,_teachers_air_more_concerns_about_leukemia_cases_at_California_elementary_school"
Irvine,33.66946,-117.82311,US,P,256927,fuzzySWHighMatch1,irvine,"Mothers,_teachers_air_more_concerns_about_leukemia_cases_at_California_elementary_school"
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Norway,62.0,10.0,NO,A,5314336,fuzzySWHighMatch1,norway,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
North Carolina,35.50069,-80.00032,US,A,10488084,fuzzySWHighMatch1,north carolina,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Mexico,23.0,-102.0,MX,A,126190788,fuzzySWHighMatch1,mexico,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
China,35.0,105.0,CN,A,1411778724,fuzzySWHighMatch1,china,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Japan,35.68536,139.75309,JP,A,126529100,fuzzySWHighMatch1,japan,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Ukraine,49.0,32.0,UA,A,44622516,fuzzySWHighMatch1,ukraine,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Brazil,-10.0,-55.0,BR,A,209469333,fuzzySWHighMatch1,brazil,Mutated_strain_of_H1N1_virus_detected_in_US_and_Norway
Haiti,19.07582,-72.29616,HT,A,11123176,fuzzySWHighMatch1,haiti,Nearly_200_dead_in_Haitian_cholera_outbreak
Christchurch,-43.53333,172.63333,NZ,P,363926,fuzzySWHighMatch1,christchurch,New_Zealand_journalists_fall_ill_on_testing_water_filter
New Zealand,-42.0,174.0,NZ,A,4885500,fuzzySWHighMatch1,new zealand,New_Zealand_journalists_fall_ill_on_testing_water_filter
India,22.0,79.0,IN,A,1352617328,fuzzySWHighMatch1,india,New_Zealand_journalists_fall_ill_on_testing_water_filter
Germany,51.5,10.5,DE,A,82927922,fuzzySWHighMatch1,germany,New_avian_flu_outbreaks_reported_in_western_Europe
France,46.0,2.0,FR,A,66987244,fuzzySWHighMatch1,france,New_avian_flu_outbreaks_reported_in_western_Europe
Saxony-Anhalt,52.0,11.7333,DE,A,2356219,fuzzySWHighMatch1,saxony-anhalt,New_avian_flu_outbreaks_reported_in_western_Europe
Thuringia,50.91667,11.0,DE,A,2249882,fuzzySWHighMatch1,thuringia,New_avian_flu_outbreaks_reported_in_western_Europe
Romania,46.0,25.0,RO,A,19473936,fuzzySWHighMatch1,romania,New_bird_flu_outbreaks_reported_in_Europe
Ciocile,44.81667,27.23333,RO,P,3101,fuzzySWHighMatch1,ciocile,New_bird_flu_outbreaks_reported_in_Europe
Brăila,45.08333,27.66667,RO,A,367830,fuzzySWHighMatch1,brăila,New_bird_flu_outbreaks_reported_in_Europe
Ceamurlia de Jos,44.73333,28.71667,RO,P,2596,fuzzySWHighMatch1,ceamurlia de jos,New_bird_flu_outbreaks_reported_in_Europe
Maliuc,45.17678,29.11334,RO,P,238,fuzzySWHighMatch1,maliuc,New_bird_flu_outbreaks_reported_in_Europe
Caraorman,45.07891,29.39321,RO,P,494,fuzzySWHighMatch1,caraorman,New_bird_flu_outbreaks_reported_in_Europe
Russia,60.0,100.0,RU,A,144478050,fuzzySWHighMatch1,russia,New_bird_flu_outbreaks_reported_in_Europe
Crimea,45.0,34.0,UA,A,1907106,fuzzySWHighMatch1,crimea,New_bird_flu_outbreaks_reported_in_Europe
Alberta,52.28333,-117.469,CA,A,3497881,fuzzySWHighMatch1,alberta,New_case_of_Mad_Cow_disease_found_in_Canada
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,New_case_of_Mad_Cow_disease_found_in_Canada
Winnipeg,49.8844,-97.14704,CA,P,632063,fuzzySWHighMatch1,winnipeg,New_case_of_Mad_Cow_disease_found_in_Canada
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,New_case_of_Mad_Cow_disease_found_in_Canada
Washington,47.50012,-120.50147,US,A,6271775,fuzzySWHighMatch1,washington,New_case_of_Mad_Cow_disease_found_in_Canada
Texas,31.25044,-99.25061,US,A,22875689,fuzzySWHighMatch1,texas,New_case_of_Mad_Cow_disease_found_in_Canada
England,52.16045,-0.70312,GB,A,56286961,fuzzySWHighMatch1,england,New_case_of_Mad_Cow_disease_found_in_Canada
Paris,48.85339,2.34864,FR,A,4380654,fuzzySWHighMatch1,paris,New_human_HIV_strain_discovered_in_France
France,46.0,2.0,FR,A,66987244,fuzzySWHighMatch1,france,New_human_HIV_strain_discovered_in_France
Cameroon,6.0,12.5,CM,A,25216237,fuzzySWHighMatch1,cameroon,New_human_HIV_strain_discovered_in_France
Hong Kong,22.27832,114.17469,HK,P,7482500,fuzzySWHighMatch2,hong kong,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
China,35.0,105.0,CN,A,1411778724,fuzzySWHighMatch1,china,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
Vietnam,16.16667,107.83333,VN,A,95540395,fuzzySWHighMatch1,vietnam,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
Indonesia,-5.0,120.0,ID,A,267663435,fuzzySWHighMatch1,indonesia,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
Laos,18.0,105.0,LA,A,7061507,fuzzySWHighMatch2,laos,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
Cambodia,13.0,105.0,KH,A,16249798,fuzzySWHighMatch1,cambodia,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
Thailand,15.5,101.0,TH,A,69428524,fuzzySWHighMatch1,thailand,New_laws_to_combat_%27endemic%27_Hong_Kong_bird_flu
Poland,52.0,20.0,PL,A,37978548,fuzzySWHighMatch1,poland,New_outbreak_of_H5N1_Avian_Flu_virus_reported_in_Poland
Orneta,54.11483,20.13328,PL,P,9412,fuzzySWHighMatch1,orneta,New_outbreak_of_H5N1_Avian_Flu_virus_reported_in_Poland
Bieżuń,52.96107,19.88976,PL,P,1931,fuzzySWHighMatch1,bieżuń,New_outbreak_of_H5N1_Avian_Flu_virus_reported_in_Poland
Pingliang,35.53917,106.68611,CN,P,504848,fuzzySWHighMatch1,pingliang,"Nitrite_poisoned_milk_kills_three_babies,_sickens_35_in_China"
China,35.0,105.0,CN,A,1411778724,fuzzySWHighMatch1,china,"Nitrite_poisoned_milk_kills_three_babies,_sickens_35_in_China"
Rogaland,59.09608,6.20442,NO,A,393104,fuzzySWHighMatch1,rogaland,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
Vestfold,59.2654,10.4159,NO,A,236424,fuzzySWHighMatch1,vestfold,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
Buskerud,59.7484,10.1891,NO,A,253006,fuzzySWHighMatch1,buskerud,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
Telemark,59.2161,9.6112,NO,A,170643,fuzzySWHighMatch1,telemark,Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic
